name,shortName,stationId,totalDocks,hasKiosk,hasKeyDispenser,rentalMethods,lon,lat,deploymentYear,initialCount
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,M32014,f834a3a0-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.114214,42.366621,2012,12
Harvard Law School at Mass Ave / Jarvis St,M32020,f834a67b-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.119945,42.379011,2012,17
One Kendall Square at Hampshire St / Portland St,M32002,f834a7d1-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.09169,42.366277,2012,15
Cambridge St - at Columbia St / Webster Ave,M32007,f834ab92-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.094445,42.372969,2012,15
Cambridge Main Library at Broadway / Trowbridge St,M32013,f834abfd-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.111075,42.373379,2012,15
Harvard University River Houses at DeWolfe St / Cowperthwaite St,M32038,f834b101-0de8-11e7-991c-3863bb43a7d0,21,True,False,"['CREDITCARD', 'KEY']",-71.11687034368515,42.369239074859216,2012,20
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,M32024,f834b652-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.125107,42.380287,2012,18
Lower Cambridgeport at Magazine St / Riverside Rd,M32022,f834b8b3-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.1138716340065,42.357218503176526,2012,19
Ames St at Main St,M32037,f834b99d-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.08822,42.3625,2012,17
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,M32023,f834ba08-0de8-11e7-991c-3863bb43a7d0,16,True,False,"['CREDITCARD', 'KEY']",-71.116865,42.377945,2012,14
Harvard University Gund Hall at Quincy St / Kirkland St,M32021,f834c5c9-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.114025,42.376369,2013,15
Porter Square Station,M32029,f834cb89-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.119084,42.387995,2013,18
359 Broadway - Broadway at Fayette Street,M32026,f834cf45-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.104412,42.370803,2013,20
Binney St / Sixth St,M32027,f834cfd8-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.08633603909765,42.36608797388682,2013,18
Linear Park - Mass. Ave. at Cameron Ave. ,M32025,f834d064-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.130516,42.397828,2013,17
Dana Park,M32030,f834fb66-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.10809952020645,42.36178043960605,2014,17
Danehy Park,M32031,f834fc57-0de8-11e7-991c-3863bb43a7d0,17,True,False,"['CREDITCARD', 'KEY']",-71.132788,42.388966,2014,15
Kendall Street,M32032,f834fcbe-0de8-11e7-991c-3863bb43a7d0,17,True,False,"['CREDITCARD', 'KEY']",-71.08216792345047,42.36356015842989,2014,16
Alewife Station at Russell Field,M32033,f834fd36-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.139459,42.396105,2014,19
EF - North Point Park,M32034,f834fda2-0de8-11e7-991c-3863bb43a7d0,23,True,False,"['CREDITCARD', 'KEY']",-71.069957,42.369885,2014,20
Rogers St & Land Blvd,M32035,f834fede-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.07654601335526,42.366446738529454,2018,19
Rindge Avenue - O'Neill Library,M32036,f834ff5a-0de8-11e7-991c-3863bb43a7d0,19,True,False,"['CREDITCARD', 'KEY']",-71.129042,42.392766,2014,18
Lesley University,M32039,f8351336-0de8-11e7-991c-3863bb43a7d0,15,True,False,"['CREDITCARD', 'KEY']",-71.11901879310608,42.38674802045056,2015,11
